Data scrapping of Times Square Restaurants,neg,neu,pos,compound,sentiment_label
"We find it best to call directly to the restaurant for reservations. Try DA Marino, you won't be sorry and you will return often.



496. Atmosphere and employees were great! The food sucked. We sat down around 5:30 and ate payed and walked out by 6pm. Clams were tiny and overcooked, both our pasta dishes were obviously not fresh and were reheated and served. Broccoli was from a steam fresh bag. Sad because this place had potential. If you want reheated microwaved Italian this is it. Zero chance you cook ""fresh"" pastas, clams, broccoli in 4 minutes..........and it tasted that way..



497. We just keep going back because the food is sooo great, outstanding chicken parm, meatballs, the lamb is unique, I could go on and on, but sauce is the BEST..We also love the warm greetings and family feel, strangers talking to strangers and becoming friends No place else is like this.Tom D'Angelo really goes above board for everyone, the staff are all sooo friendly and fun.Marcie Castro on the piano truly gives the feel of being in Italy, her music is so special..To be honest I wish I could go every night.



498. The food was fantastic but the service and ambiance were perfection. We came to celebrate a birthday and the host/owner was so kind to us and he went out of his way to make us feel special. Our waiter was very on top of his game and was attentive even with a completely packed restaurant. We loved it so much that we went back for drinks again later in the evening. When we went back later in the night, they had a live pianist who was absolutely lovely. This is our new NYC spot anytime we come into town and I could not recommend it more!



499. Bottle of Red, Bottle of Whites...",0.034,0.727,0.239,0.9978,Very Positive
"While eating here, ""Scenes from an Italian Restaurant"" kept playing in my head, the place is Cozy, the Ambiance is "" Cheers"", as soon as you walk through the Door.",0.0,0.94,0.06,0.2023,Slightly Positive
"The Food was beyond AMAZING, my Compliments to the Chef!",0.0,0.541,0.459,0.7777,Very Positive
"Overall is was a Great time, atmosphere is Family oriented, the Staff was especially nice and accommodating.",0.0,0.661,0.339,0.8016,Very Positive
"I Highly recommend this place, if you are looking for a Great meal, at a Cozy friendly place, Da Marino NYC is a must.



500. This place is sooo hard to describe because it's sooo special.Always decorated beautifully, the food is exceptional, my husband literally dreams about the sauce. The chicken parm is the best anyplace, the lobster ravioli amazing, penne Ala vodka like wow, its hard to find good veal and Da Marino has the best. I could go on and on..In addition it's soo much fun to be here, the entertainment is great, lovecwhen Marcie Castro plays, Tom the manager sings too and makes everyone feel like family. It really gets busy so call the restaurant to book a reservation.I sometimes come to Da Marino, have dinner, see a show, and they hold a table for us to return for dessert.Even if we don't do a show, it feels like we went on a vacation to Italy for the night..I travel alot, dine out alit, but Da Marino is literally the BEST
Oceana Restaurant
SeafoodVegetarian FriendlyVegan Options
4.5
501. This is a lovely looking space, though very large. The service was excellent, but the food wasn't up to the hype. The calamari was great, but my Tempura Softshell Crab was barely edible, covered with a thick, tasteless batter. Not one of the six of us was impressed with the food. The place looks like it caters to business people on big expense accounts. It was definitely a tourist destination.



502. We didn't have a lot of time before theater tickets, and we ate a late lunch, so we weren't exactly starving. However, my lobster scampi and husband's grilled swordfish were perfection, the Sancerre chilled and delicious and we will be back hungry to try more of the wonderful menu items.



503. Meal and service were great. Recommend octopus and ceviche appetizers. Outstanding. We were not rushed it being quite busy. Would definitely return.



504. Large restaurant with a busy atmosphere. excellent service and good raw bar and other food choices. A bit noisy to have a conversation but overall nice



505. Excellent service and fantastic food. The restaurant is beautiful, light and airy with a really nice ambiance. Our waiter was really fantastic and everyone was really kind and friendly....



506. We didn't have a reservation but walked in and the hostess was very polite and seated us in the bar area immediately as there were no tables in the main restaurant. Our server was very kind and polite and everyone was gracious. The food was lovely and the servings were very reasonable. The prices were high for us Texans but reasonable for NYC. Would definitely recommend.



507. Sad to report this was a very disappointing visit...I had high expectations with the environment and menu options but left frustrated.",0.035,0.676,0.289,0.9994,Very Positive
"The food overall was just not good. The basic salad with lemon dressing was nothing special and probably would have been better with a balsamic dressing or something else to make it worth $20...the fries were not crispy, we got charged for 2 bottles of sparkling water although the water wasn't left at the table ($23), the pasta was warm at best and the wine was cool but not ""chilled"".",0.064,0.793,0.144,0.6083,Positive
"I was ready for a great meal and the only reason I mention prices is because it was super frustrating to get the bill and see what was charged when the quality and service weren't there.



508. Food and service were outstanding. My wife had the Swordfish, I had the Salmon entree. My wife had the tuna tartare for her appetizer;l had the seafood bisque soup. With two drinks a piece and coffee/tea at the end of the meal, the bill was $250. A bit pricey but welcome to NYC.



509. we dined here on new year's eve choosing some of the items on the a la carte menu. we had a good time, the waiter who assisted us was very nice and friendly. the atmosphere is cozy and the restaurant is practically in times square. recommend



510. Excellent seafood restaurant. Great service. Great dish presentation. My fish was just excellent and the right size. Good wine selection available. Requires reservation



511. Empty tables everywhere 8pm and they tell us there's no room except the bar. Perhaps they just discriminate against Bostonians or perhaps they didn't think we would rack up a big enough bill because we were wearing jeans. Big mistake. Will never go back here. Horrible.



512. While in NYC for the marathon, my son and I visited Oceana Restaurant. The restaurant has floor-to-ceiling windows and the floor is open and airy. Despite there being many patrons, it was very quiet, making conversation enjoyable. The staff is very helpful, pleasant. (I asked where the restrooms are and a staff member escorted me there.) There is a very extensive menu. The food was very delicious, served beautifully. We would have liked to have ordered the 4-course Chef's Tasting Menu but the server advised against it since we had theater tickets for a show which began in 90 minutes. I finished my meal with a perfect, small dessert of gelato. A lovely place to go before the theater. We will definitely return the next time we are in NYC.



513. Popped in for a business lunch as I work nearby. Very good stuff and I can see why it's a popular place for colleagues. Efficient and polite service, classy interior and decor, very tasty food.



514. My mom and my ""go to"" nice restaurant when we visit NYC. We typically do the Tasting menu and it is well worth the price. You get an appetizer, Pasta, Main and dessert. SO much food. Our favorite include the ceviche, crab cake, and allll the desserts are to die for.



515. Very much enjoyed our dinner at Oceana while on a recent NYC trip. Dined with friends and we all enjoyed our meals and drinks. Atmosphere was lovely and wait staff were attentive and personable. NYC has many excellent restaurants, and this one is among the best. I recommend and would most definitely return here.



516. My husband and I had salads and split a swordfish entree. The atmosphere was elegant and the wait staff was extremely efficient, polite, and helpful. I ordered a cocktail and it seemed flat. Our waiter brought another and it was flat, too, so he brought me a new bottle of ginger beer to add to my drink. It was very thoughtful and was the solution. And I didn't get any eye rolls about being fussy. Really nice staff. One thing that they did which really means a lot to me is that they waited until we both finished before clearing dishes...so many waiters don't pay attention to that. My husband got the pana cotta and raved about it. We were so happy to find this restaurant and will definitely return.



517. Friendly service, great looking place. Went on weekday, cleared out early and noise level dropped. Most in sport coats, so look like work dinners. Reasonable prices, nice selections. Pasta was pretty darn good. Wine guy helpful. Everything we had was pretty good, nothing was spectacular. Good time, good food, nice experience.



518. My better half had picked this place out. It had great reviews, was reasonably close to our hotel, and looked very nice. It also had sea food, and after all the steak houses, it would be a nice change.



519. Solid midtown option if you want a break from noisy steackhouses. Their lunch & theatre prix-fixe menus are an excellent deal. More expensive at dinner. We had great wine and seafood that night, alongside a complimentary anniversary cake. Kudos to the staff !



520. Wow. What a great meal! We all had seafood, each dish was terrific. The atmosphere is great, the staff is helpful and the presentation is wonderful. It feels like one of those places that has been there forever, but doesn't rest on its laurels, it's always trying to keep up...and it does. Now...bring the wallet. But, that's the point of going out, to enjoy yourself! Great night!
Angelina Bakery Times Square
BakeriesItalianPizzaCafe
5.0
521. The quality of the products are awesome, but some girl from the counter really needs customer service skills, we ordered an ice latte and she gave us an Ice drip, when we tell her kindly that the order was wrong, she just said ""you are wrong, not me, I just give you what you order"" and just refused to change our order.



522. Make sure you go hungry as the rolled croissants are HUGE and gorgeous. Lovely place for brunch and lunch. Hardest thing to do here is decide what to have ;)



523. Sandwiches and pizza are so so good that we had to come back! Not once but twice! The dessert is heavenly as well.



524. Awesome, very good quality and super fresh. I'd really recommend this place in times Square New York city



525. the food dessert gelato the service very satisfied the music transports you to another magical place many people very happy and giving good service



526. In the midst of crazy Times Square is a piece if European deliciousness. Pur family loved these pastries. The mont blanc is half nutella and half custard. The outside is really crispy and sugar coated...just like what we had overseas. The strawberry croissant is also so good. I honestly don't think you can go wrong here with a pastry choice!



527. Great spot . Friendly staff. Delicious pastries . Has a small sitting area where you can sit and relax.



528. Great location and wonderful food to chose from. We purchased various combinations of their gelato which were all delicious. The cakes looked amazing too!! Highly recommend



529. Very clean, and good customer service. Coffee and Baked goods were excellent! The cannolis are very good and in expensive.



530. The desserts were delicious, the customer service was great! I got a raspberry croissant it was hands down the best croissant I have ever had! I 100% recommend!



531. Amazing pastries and cakes and coffee all reasonably priced Highly recommend the croissants and the Nutella doughnuts and the delicious fruit yoghurt.



532. Great experience! Pastries are fresh and delicious. Great place to stop for a sweet treat during our family vacation.



533. Oh my gosh, you guys have to check out Angelina's ice cream in NYC! It's seriously the bomb dot com. The flavors are off the charts and totally mind-blowing, like who even knew you could put bacon in ice cream and it would taste so amazing? Plus, the portions are huge, so you definitely get your money's worth. Don't miss it, it's the real deal!



534. Amazing place to have dessert!! Loved it. Absolutely delicious crossoaint.had fun! Also the pizza was amazing. And also the foccacia bread was just perfect.



535. Everything was great! I got a great coffee very quickly and the service was phenomenal. Thank you for it!



536. Great snacks I enjoyed my Canolli will be coming back very soon. Thank you guys for a beautiful establishment



537. Beautiful, unique desserts. The donuts are classic, messy, but always good. I like them microwaved. The gelato is also very good. Nice, clean unisex bathroom.



538. I love the Nutella bombolone! I stop in and get one every single time I come to NYC. The donuts are soft and fluffy and full of cream. Everything always looks so cute!



539. Lovely! Nice location fresh pastries. Good service Lovely staff and fabulous almond croissant. Xoxo



540. Excellent Bombolones!!! Yum!!! Great after theatre stop! Upstairs seating area with much appreciated air conditioning! Cafe lattes & sweets!
P.S. Kitchen
AmericanVegetarian FriendlyVegan Options
4.5
541. we had the bbq ""chicken"" salad, thai ""chicken"" sandwich, brussels, and glass of cab. we had a resy but sat at the bar. all were tasty and service by bartender was great.



542. P.S. Kitchen is not just an amazing vegan restaurant, it's also a vegan social business based in NYC. I did not know that before (read more about that on their website), but I had heard great things about their food!",0.027,0.607,0.366,1.0,Very Positive
"I'm a burger dude by heart, so I tried their Smokey BBQ Burger (Beyond Burger, American Cheese, Caramelized Onion, Smokey Portobello Mushrooms, BBQ Sauce and Pickles on a Pretzel Bun) and it was one of the best vegan burgers I've ever had! ...and I've had quite a few.",0.0,0.905,0.095,0.6696,Positive
"Excellent place with super friendly staff. A must visit, vegan or not.



543. We had the Thai ""Chicken"", Beet Salad and Maitake Wings. They were all VERY good. The ambience is good as well. Definitely going back there!



544. Wonderful experience all around. Staff super friendly and knowledgable. The food was outstanding. Comfortable funky chic decor. Loved it all. Thank you!



545. I had time to kill before a show so I was just wondering around aimlessly until I came across this establishment. I quickly read the outside menu not realizing it was vegan.",0.048,0.562,0.389,0.9918,Very Positive
"When my food came, all I could say was OMG! I had no idea my crab cakes were crab free! The Thai chicken wings were fabulous! It even looked and had the consistency of chicken. It was an extremely pleasant surprise and I will definately bring my friends with me to dine when wr come in for the next show! The wait staff was do friendly and the service was outstanding. Thank you for my day incredible even with the mediocre play I had seen.



546. Nice looking place with good service and a menu that sounds good. Unfortunately, every dish we had was a meat wannabe that did not make it and left us queasy later that evening.



547. Arrived in the city from the UK and searched for vegan places nearby, walked in and it was really busy but they found me a seat inside within 5 minutes. I ordered a pot pie which arrived really fast and was utterly delicious. The food really looks and is amazing, the restaurant has a lovely atmosphere and the team there are really nice, pleasant and professional. I loved it, I will be going back sometime for sure. Oh, and all the profits go to charity, it's fully vegan, what's not to like.



548. It's already the second time we have the pleasure to eat their food. Good job guys! We love it. From the appetisers to the dessert which came with a good coffee. Very nice stop in the heart of NYC. Better book a table, the place is quite popular!



549. So good we visited twice. Once for dinner before a show and once for dessert and drinks. Feels very much removed from the insane Times Square vibe as it is technically in Hells Kitchen. But a pleasant walk to the theaters and to our hotel. Delicious drinks and food!



550. A perfect spot for a delicious dinner before a show. This is a busy vegan restaruant located right in the theater district, with a terrific menu. It was a cold January evening, so the ""chicken"" pot pie was our obvious choice. So, so good!



551. I am a meat eater but decided upon my daughters urging to try vegan. We decided upon this restaurant. I was amazed at the quality and taste of the food. Superb. I'm almost a convert. Service was impeccable. Only downside is the cost as it is expensive.



552. Second visit and excellent both times . Food is amazing , fresh and full of flavour . Staff helpful and friendly . Lovely atmosphere. Thank you



553. Given NYC's size and status, generally vegan and vegetarian options in the city are relatively rubbish compared to any other non-US city. But P.S. Kitchen was simply superb in the quality of food.",0.027,0.669,0.304,0.9995,Very Positive
The taste is not compromised and everything was so fresh.,0.0,0.751,0.249,0.4572,Slightly Positive
Some unusual options too as well as staples. Same for drinks too.,0.0,0.84,0.16,0.2732,Slightly Positive
I would highly recommend this. Very central to Times Square but does not feel commercialized.,0.0,0.873,0.127,0.2255,Slightly Positive
"So pleased to have found it. Everyone in the party (1 vegan and 3 vegetarians - including children) loved it.



554. This little gem is off the beaten path and well worth seeking out. I heard about this restaurant from a comment on a vegan foodie I follow on Instagram. The atmosphere is quaint and relaxing. Our server was sweet and attentive. The food is yummy and worth the price. According to what I read, all profits go to support local charities. I asked our server and she confirmed that the owner donates the profits. I've never heard of a philanthropic restaurant. So cool! Eating great food and helping others at the same time.



555. As a vegetarian, I really enjoyed this restaurant, knowing all of the options were vegan. There were several plant-based meat dishes, but several salads, too. I got the caesar salad with crispy ""chicken"" and it was delicious. We had a delightful waitress, Corinne, who provided excellent service.



556. Absolutely amazing Thai ""chicken"" burger. Wow! Crave worthy. Will be back before I leave NYC! If I could, I'd eat here every day!



557. During a visit to NYC we ate twice at this wonderful place. The amazing concept behind the restaurant is synonymous with the amazing food they serve. The vegan menu is an absolute delight, the food was fresh and delicious and I genuinely felt spoilt for choice. All of this coupled with fantastic service that each time went above and beyond our expectations. Thank you to the hosts for squeezing us in without a reservation and special thanks to Frank and Elainie for their perfect service. We love this place! P.S... save space for a cocktail



558. Just amazing!!! We found it really hard to find vegan dishes around Time Square and P.S. Kitchen was just perfect! The restaurant was recommended to us and we will be 100% recommending it to everyone we know will be visiting NY! The food was just amazing, the service was great. Thank you!



559. I live in the UK and i was very nervous about finding places to eat in nyc as i am vegan. I found this place on happy cow, its just off Times Square and what a little gem. The Staff are so welcoming and friendly and I can honestly say I had the best burger i have ever had. Its definitely a must if you are in NYC.



560. The menu is a bit misleading, because it says chicken when it means soy or mushroom. The whole menu is vegan. That said, even the meat-eaters in my party felt they had plenty to eat and enjoyed the food. They were also very accommodating of a group arriving without a reservation on a weekend brunch.
Glass House Tavern
AmericanBarVegetarian Friendly
4.0
561. Very nice spot conveniently located in the heart of the Broadway. Varied menu, something for everybody. Excellent choice for a pre-show dinner.



562. If you have an opportunity, I would suggest selecting another restaurant. Last night my wife and I went there to celebrate our anniversary. The server provided us with two "" complimentary"" glasses of champagne. When our bill came we noticed we were charged for both glasses. Our server informed us that he had to include them for inventory purposes and they would be deleted at time of payment. That was not the case so another server came to our table, apologized and corrected this matter. As we were leaving our original server came over to say he was supposedly embarrassed by his oversight. The menu is very limited and my main course lack any flavor. In addition it took three requests for bread (rolls) and a lemon for my water.



563. Had booked for later in evening but guy on the desk helpfully rearranged. We explained had just flown in from uk and could fall sleep during dinner! Our server Larry was the best. Food was excellent, I had roast chicken which was cooked to perfection. My wife had lamb fettuccini ragu. Both awesome. Wine great.",0.031,0.667,0.303,0.9998,Very Positive
The service was also excellent. We would have gone back for dinner but unfortunately we didn't have time.,0.145,0.746,0.11,-0.1901,Slightly Negative
"Great location, excellent service, fresh ingredients, and wonderful atmosphere.



577. Super convenient location, in Times Square. Our waiter, Larry, was wonderful and prompt. However, the food was nothing special and slightly bland. Great location and service, not-so-great food.



578. We went to Glass House before our play. I liked the prefix menu and there were many good options.Service was good and food was above average but not great.



579. I can't comment on the food as we didn't eat there, but we called in for drinks a couple of evenings while we were in New York. The staff were friendly and attentive, without being intrusive. Drinks were lovely and reasonably priced. We'll definitely be back next time we're in the city.



580. Not for Italian taste. We ate badly and paid a lot: this is the summary of our experience in this restaurant that boasts high culinary standards. The modest, although clean, environment immediately makes us understand that we cannot expect much. The dish of meat, cooked poorly and with an indecipherable side dish based on cauliflower, remained on the plate almost without being touched. Price absolutely unjustified.
Magnolia Bakery
BakeriesAmerican
4.0
581. Best banana pudding I've ever had. And the prices were reasonable as well. We tried the one at Moynihan Train Station but there are others throughout the city.



582. This is an absolute must if you're visiting NY. Please get yourself their banana pudding, and get a big one if you're sharing! They have seasonal flavors, and when we were there around Christmas they had red velvet... it was beyond good. I've had their normal one multiple times, and this was a very yummy twist. We came back here a couple times while we were here.



583. The cheesecake at Magnolia Bakery was everything I had hoped for and more. The texture was incredibly smooth and creamy, and the flavor was rich and indulgent. Each bite was a heavenly combination of tangy cream cheese and a buttery, melt-in-your-mouth crust. It was evident that great care had been taken in crafting this dessert, and the attention to detail truly shone through.",0.014,0.751,0.235,0.9983,Very Positive
"The presentation of the cheesecake was also noteworthy. The slice was beautifully plated with a dusting of powdered sugar and a dollop of whipped cream on the side. The portion size was generous, providing a satisfying treat without being overwhelming. It was evident that Magnolia Bakery takes pride in their creations and strives to provide a delightful experience for their customers.



584. Went there for the banana pudding and was not let down. Bought maybe 10 for 3 days, it was amazingly delicious. Can't say anything for the rest of the the cakes and bakery (looked pretty basic).



585. Despite my love for magnolia's banana pudding I recommend their cakes and muffins. So tasty/ A must if you visit NYC and love cakes



586. Stopped past to get something sweet after dinner. Didn't expect to purchase the banana pudding however everyone was ordering it so I thought I would give this a try. Wow it didn't disappoint. It's delicious. I also purchased a cheesecake which was also very tasty.



587. I had previously really enjoyed the banana pudding from this brand, so we decided to order a birthday cake for my mother while on vacation. The cake was on-time and beautifully decorated as specified in the order. However, it was extremely dry, to the point I didn't even want to eat any. When I went to pick it up, I had to wait a long time for them to just grab a cake and give it to me, and one of the employees kept loudly asking his coworkers if they could give him any prescription stimulants. Not exactly the cute atmosphere the brand aims to cultivate.



588. Unfortunately, it is so hard to find good bakeries in the USA. Most places use too much sugar and butter. We visited Magnolia bakery just because of its high reviews and we did not have much hope. But their banana pudding was awesome. It was so well balanced and not too sweet. We also got cupcakes but they were not so tasty.



589. This bakery was on our must visit list when planning our trip - especially to try their famous banana pudding. The pudding was deliciously creamy and was any banana lovers dream. We visited several of the bakeries throughout NY city to purchase coffees, drinks and even more banana pudding! Would highly recommend.



590. The banana pudding is really great, the best I have ever had. We had to queue up for 20mins but it was worth the wait. It is very close the Rockefeller center, wnjoy the view and the pudding.



591. This place is great. It's semi-crowded on a Thursday. The people were nice. The banana pudding is absolutely amazing. I'd love to go again



592. We went to the one in Greenwich village and it was lovely! The smell was amazing when you walked it and the prices were reasonable! Delicious banana pudding and cakes!



593. I have been to the Magnolia Bakery on other occasions and always ordered a few delicious cupcakes. This time, my daughter asked if I had ever tried their famous banana pudding. I had not, so since she is usually right I agreed to forgo the cupcakes and try the banana pudding. Oh my!!!! My love of chocolate went right out the window when I took one bite of this fabulously creamy and flavorful banana pudding! This is now my favorite dessert of all times and so reasonably priced as well.



594. Perfect flavour - we got the flourless brownie which was smooth and tasted perfect. The magic slice was really good and I'd easily buy another piece, and the caramel chocolate brownie which my husband enjoyed. Lovely homemade flavour and didn't taste commercial.



595. Amazing cupcakes and cookies Strange system to order first and then start the queue, my tea was cold at the end of the queue to pay



596. I feel like everyone knows about Magnolia Bakery, but we don't have any where I live, so we just had to stop by this one when in NYC. Of course we tried the infamous banana pudding, but we also got a chocolate cupcake. Both were amazing. The banana pudding felt homemade and the cupcake was decadent. The wait was long though!!!



597. This was on my list of places I wanted to try while in New York after following it for years on Instagram. We stumbled across one of the shops on our first day and I had to try their special flavour of the month. The peanut butter chocolate pudding cup. It was every bit as good as I was hoping it would be. Delicious!



598. During our trip to NYC we were told to visit this bakery and we were not disappointed! On our first visit I had the peanut butter ice box cake which was rich and delicious and my husband had a red velvet cupcake... everything looked so good and I was torn between the icebox and the peanut butter banana pudding, so a few days later we went back to try the pudding! It didn't look anything special when I opened it... but it tasted amazing and definitely worth a second trip.



599. The banana pudding was delicious! The staff are helpful while directing patrons to the appropriate line for desserts or banana pudding.",0.031,0.75,0.22,0.9997,Very Positive
travelchick2021,0.0,1.0,0.0,0.0,Neutral
California,0.0,1.0,0.0,0.0,Neutral
1018,0.0,1.0,0.0,0.0,Neutral
"Reviewed July 22, 2022",0.0,1.0,0.0,0.0,Neutral
Banana Pudding Better Than Mom's!!,0.0,0.534,0.466,0.5399,Positive
"So, I went on a trek to find the much-talked-about banana pudding. Now, I like banana pudding, but I don't usually go out of my way for it. Well, this is one pudding that I am definitely glad that I went on a mission to try.",0.0,0.745,0.255,0.899,Very Positive
"What makes it so good? Is there some unique seasoning or ingredient that other banana puddings don't have? No, not really. The banana pudding tastes like banana pudding should and it doesn't have any unique or higher-priced flavorings that you don't find in other banana puddings.",0.0,0.835,0.165,0.8171,Very Positive
"Then what makes it special? Well, it is all about the texture. The vanilla wafers are not soggy, the pudding is lighter than other heavier puddings. I think this is due to them possibly folding in whipped cream into the banana pudding. It is not overfilled with bananas or wafers, which probably helps to keep the pudding from getting that liquid that can occur when too many bananas are in the recipe. I do wish there were more wafers, but that is because they held up so well in the pudding and were not mushy.",0.0,0.901,0.099,0.7717,Very Positive
This is definitely something I want to try again the next time I visit NYC. It is definitely worth standing in line. And splurge a little and get the larger size. The small size will make you wish you had bought more.,0.0,0.751,0.249,0.8519,Very Positive
"600. 
Junior's Restaurant & Cheesecake
DessertAmericanDeli
4.5
601. This place is truly superb. Had a sit down at the bar (always wanted to do this) and the gent behind the bar was absolutely amazing. Always asking if everything was ok, more drink/water and keeping a track on our food order. If I ever had a bar I'd hire him! Venue was great, food first class and sad that it will be a good few years before we can get over the pond and visit this fabulous place.



602. Regular American diner food. Do not have option of spice in the food. Do not add salt to omelet even if requested. Family did not like food.



603. We were served by Alex I who make our final few hours in New York lovely. He is an asset to the restaurant. Friendly, helpful and informative, nothing was too much trouble .",0.046,0.739,0.215,0.9834,Very Positive
He looked like a young John Travolta.,0.0,0.667,0.333,0.3612,Slightly Positive
Husband had the cheeseburger which he said was amazing. I had the pastrami on rye which was recommended by Alex and did not disappoint.,0.0,0.718,0.282,0.7819,Very Positive
I then had a voucher for free birthday cheesecake and it was amazing.,0.0,0.559,0.441,0.7964,Very Positive
"I can understand why people recommend this



604. Food as expected for a diner, no issues, service was slightly slow but even the 2pm slot is busy. Opted to eat outside and people watch. Hope they move to a system where bill can be paid and completed at the table.



605. We went after our Broadway play for second supper. We walked right in- it was very busy and service reflected that. We tried the pastrami and corned beef on onion rolls with fries to share the sandwiches were fine and the fries were good. Also got the matzo ball soup which was excellent. A friend really enjoyed the disco fries. We got the brownie cheesecake for dessert which was alright.



606. This is by far the best cheesecake I have ever had. I will definitely go online and have this cheesecake mail to my home. If you are in the New York City area.. it is a must that you eat this cheesecake perfection!!!



607. Such great sandwiches and such reasonable prices. Wait staff was courteous and efficient. Food was great.



608. My friends and I had delicious ""comfort food."" I took the bus back to Massachusetts and I had some left overs in a ""to go"" box to enjoy on the trip! The wait staff is super! Also, we went on a warm, sticky day. The A/C was delightful inside the restaurant.



609. Amazing cheesecake - we tried the brownie explosion, key-lime cheesecake and the gluten / sugar free cheesecake. All were delicious and great size



610. We visited for breakfast for my husband's birthday! The restaurant was packed on a Monday morning. We ordered the smoked salmon egg Benedict with coffees. The coffee was just okay and the English muffin under the eggs were too hard to enjoy... so the food was disappointing.",0.019,0.667,0.313,0.999,Very Positive
"We got complementary cheesecake to take back, for my husbands birthday and we must say it was one of the best ones we had in a long time!



611. The reputation this place has as the go-to place for breakfast is more than deserved. Great quick service, clean, good food, huge portions. A bit pricey but you expect that in this location.



612. I placed an order for two cakes with Carlos in the bakery and he was so kind and patient with me. I have worked in Customer Service for many years and been a customer for many more and I would have to rate his professionalism and courtesy as THE BEST I have ever received. Thank You Carlos and Thank You Junior's for being the BEST at what you do. And there is no other Cheesecake in the World that can top Junior's Cheesecake! Certified Brooklyn born and a customer my whole life.



613. Junior's was hands down our favorite restaurant for breakfast while visiting NYC. The atmosphere was great, the staff was always friendly and fast, and the food was delicious. For the 6 days we were in NYC, 4 of them started at Junior's! The only reason why it wasn't all 6 days was because we aimed to try different places, but after always comparing other restaraunts to Junior's, we decided to make it our ""go to"" place to start our day.



614. We were going to Ellen but dived in here, really pleased we did. Excellent service, clean and most of all good food. I had the omelette which was great my wife and son had pancakes which they said we're as good as Bubbys



615. Service was sketchy. Ordered beverages and our food. Never even got a glass of water, until our food was delivered. I ordered a hot sandwich, it was cold. Just not the experience I am accustomed to when I visit!



616. Juniors is always a sure bet everytime we eat here, whether it be at the 45th Street or 49th/Broadway location. Love ALL the dishes, and love the fre pickles, beats and coleslaw that are served before the meal (but sometimes you have to ask for them if the restaurant is swamped). PLUS the cheesecake is divine!



617. Came here to try the cheesecake, wasn't disappointed! They have sugar-free versions for anyone trying to mind their health, but no compromise on taste. No complaints from our party of four



618. Juniors gets the rep of the best cheesecake in NYC but after a few days in NYC it's quite apparent all the cheesecakes look the same in each place so we opted for some cupcakes, 2 cupcakes for $8 was decent considering the size of them. Glad we tried something from juniors before we left, next visit we will defo go in for cheesecake and food



619. Juniors Cheesecake ??... so so delicious.. tried their Onion Soup, Salmon with rice and finally had a Cheesecake which is their famous food item. It's Juz opposite to my hotel Crown Plaza Times Square.. gathering food and it's crowded always. Need to book and wait.. staffs are so helpful and their hospitality is amazing..



620. Best cheesecake I have had in a long time, staff was excellent in accommodating my party. Waiter was friendly and conversational even in the very busy restaurant. Did I mention the delicious cheesecake
The Palm - Palm West
AmericanVegetarian FriendlyGluten Free Options
4.5
621. My wife and I went to The Palm Restaurant on Father's Day. Although it seems to be primarily a steak house, they have plenty of other options. My wife and I thoroughly enjoyed our appetizers of calamari, jumbo shrimp and our main courses of shrimp saute and sea bass stuffed with lump crab meat. The shrimp especially was very fresh. Our waiter, Humberto was extremely personable and took the time to explain some of the history of the restaurant. There is artwork all over the walls of the restaurant, mostly of regular customers dating back many years. I explained to Humberto when we were first seated that we had a gift card for the restaurant given to us by my niece for my wife's birthday which was several months ago. After the meal was over, Humberto and a few other waiters surprised us with a complimentary carrot cake with candles on it and sang Happy Birthday to my wife. They really made us feel at home there. We also had a good time joking with Daniele, the hostess. We highly recommend and will definitely go back to The Palms.



622. Amazing food, service was out of this world as always. While other restaurants and going down, they manage to keep at a top tier for both food and service.



623. if you don't want to go to Smith & Wollensky or Peter Luger, this is in my opinion a perfekt alternative! the food is excellent, you have a wide selection on the menu. service was just perfect and the atmosphere is authentic! we enjoyed and would go back anytime



624. Had a wonderful meal, steak and Lobster couldn't fault it and the service was good, but not cheap then everything in America is expensive.



625. The original Palm, Palm Too and even Palm Tribeca are all gone. This is all that remains. After a long covid layoff we returned recently and, sadly, we will not be returning. The filet was nowhere close to the tenderness of the pre Landry's Palm standards. My ribeye came, without warning, with a kind of peppery seasoning that no real prime steak needs. My old favorite Monday Night Chopped Salad had clearly been waiting for me far too long before it was served. The Palm was a steakhouse staple. It wasn't broke but Landry's fixed it anyway. Now we need to find a new go to when the urge for a steak night out strikes.



626. One of best restaurant experiences ever! Excellent waiters, elegant food, and worth every penny. Want to feel like royalty? Done here!



627. We ate here before seeing a show, we weren't that hungry having had a late lunch.",0.02,0.751,0.229,0.9998,Very Positive
"We had a wedge and Caesar salad which we're both large and tasty, as well as the lobster bisque. The lobster bisque was one of the best we've ever had, that's saying a lot as we will always buy it when we see it on a menu.",0.0,0.87,0.13,0.743,Positive
